_id,geoid,year,in100,msaid15,msaname15,countyfips,statefips,stateusps,pop,z_ED_nat,z_HE_nat,z_SE_nat,z_COI_nat,c5_ED_nat,c5_HE_nat,c5_SE_nat,c5_COI_nat,r_ED_nat,r_HE_nat,r_SE_nat,r_COI_nat,c5_ED_stt,c5_HE_stt,c5_SE_stt,c5_COI_stt,r_ED_stt,r_HE_stt,r_SE_stt,r_COI_stt,c5_ED_met,c5_HE_met,c5_SE_met,c5_COI_met,r_ED_met,r_HE_met,r_SE_met,r_COI_met
85995,36005032300,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,614,0.084119052,0.048613939,-0.021189978,0.012006701,Very High,High,Moderate,Moderate,87,79,41,59,Very High,High,Moderate,High,85,67,50,61,High,High,Moderate,Moderate,78,64,48,56
85996,36005032400,2010,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,581,-0.061383523,0.037024468,-0.44938231,-0.05514225,Very Low,High,Very Low,Very Low,19,68,3,5,Low,Moderate,Very Low,Very Low,22,50,8,10,Low,Moderate,Very Low,Very Low,22,47,7,9
85997,36005032400,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,747,-0.12094694,0.024963673,-0.56385309,-0.076331861,Very Low,Moderate,Very Low,Very Low,3,55,1,2,Very Low,Low,Very Low,Very Low,3,32,3,3,Very Low,Low,Very Low,Very Low,3,32,3,2
85998,36005032600,2010,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,879,-0.052085049,0.040301826,-0.065187387,-0.009055938,Low,High,Low,Low,24,71,33,35,Low,Moderate,Moderate,Low,25,54,43,40,Low,Moderate,Moderate,Low,25,52,42,39
85999,36005032600,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,507,-0.093701415,0.03659603,-0.10046195,-0.018156148,Very Low,High,Low,Low,8,67,27,26,Very Low,Moderate,Low,Low,9,49,38,31,Very Low,Moderate,Low,Low,10,47,37,31
86000,36005032800,2010,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1305,-0.056179658,0.006574945,-0.36993507,-0.048561491,Low,Low,Very Low,Very Low,22,38,5,7,Low,Very Low,Very Low,Very Low,23,14,13,13,Low,Very Low,Very Low,Very Low,23,14,12,12
86001,36005032800,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1181,-0.08216656,0.027213359,-0.45419338,-0.059043761,Very Low,Moderate,Very Low,Very Low,11,57,3,4,Very Low,Low,Very Low,Very Low,13,35,8,8,Very Low,Low,Very Low,Very Low,14,34,7,7
86002,36005033000,2010,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1427,-0.077318266,-0.002613651,-0.36859435,-0.051720176,Very Low,Low,Very Low,Very Low,13,30,5,6,Very Low,Very Low,Very Low,Very Low,15,10,13,11,Very Low,Very Low,Very Low,Very Low,16,10,12,10
86003,36005033000,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1104,-0.10531171,0.006514074,-0.33368522,-0.049781315,Very Low,Low,Very Low,Very Low,6,37,6,7,Very Low,Very Low,Very Low,Very Low,6,14,15,13,Very Low,Very Low,Very Low,Very Low,6,14,14,11
86004,36005033201,2010,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,471,-0.05137926,0.006787693,-0.27863562,-0.037383433,Low,Low,Very Low,Very Low,24,38,9,12,Low,Very Low,Very Low,Very Low,25,14,18,19,Low,Very Low,Very Low,Very Low,25,14,17,17
